;Place_ID;Address;Phone Number;Price level;Avg rating;Amount of ratings;Vegetarian;Beer;Wine;Opening Hours;tags
10;ChIJiUFLSV11_UYRNSX1hpA-HWY;Bolesława Chrobrego 79A/U58, 80-414 Gdańsk, Poland;+48 572 161 181;2;4.9;414;True;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
11;ChIJV_e3zJ9z_UYRpYzNYZjZjFU;Kołodziejska 2, 80-836 Gdańsk, Poland;+48 607 292 905;1;3.9;3803;;True;False;[{'close': {'day': 1, 'time': '0130'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0500'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0500'}, 'open': {'day': 6, 'time': '1000'}}];['meal_delivery', 'night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']
12;ChIJl4jAawB1_UYRQV2kunhGEZs;Heleny Marusarzówny 2/7, 80-288 Gdańsk, Poland;+48 572 563 679;;4.9;112;;;;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
13;ChIJk5aFr5UK_UYRgzWXf2Xn1tw;Króla Jana Kazimierza 2, 81-743 Sopot, Poland;+48 571 294 124;2;4.5;2053;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
14;ChIJbVK7kiSn_UYRIv2xNPTcNO8;Starowiejska 15, 81-356 Gdynia, Poland;+48 666 586 445;;4.7;456;True;False;False;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0900'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
15;ChIJCbpmK1V1_UYReOcvIWIzvSU;aleja Grunwaldzka 76/78, 80-244 Gdańsk, Poland;+48 780 717 480;;4.7;319;True;True;True;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1300'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1300'}}];['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
16;ChIJSa3R0_1z_UYR226xgjKdlU0;Targ Rybny 10A/B, 80-838 Gdańsk, Poland;+48 505 544 135;;4.5;1097;;;;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1300'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1300'}}];['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
17;ChIJI4fVJ9cK_UYRFFPbdBi5YMQ;Piastowska 97, 80-252 Gdańsk, Poland;+48 516 505 257;1;4.5;3452;True;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
18;ChIJI4fVJ9cK_UYRFFPbdBi5YMQ;Piastowska 97, 80-252 Gdańsk, Poland;+48 516 505 257;1;4.5;3452;True;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
19;ChIJh3IqNQ91_UYRonYLCCXI_YQ;Heleny Marusarzówny 2, 80-288 Gdańsk, Poland;;;4.4;203;True;False;False;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
20;ChIJ8R1cEg11_UYRDv9UPvUhLCQ;Wajdeloty 25, 80-437 Gdańsk, Poland;+48 794 777 325;2;4.7;1459;True;;True;[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0900'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
21;ChIJT5I4NpMK_UYRgrylszzJjtc;Grunwaldzka 80, 81-881 Sopot, Poland;+48 58 718 74 75;1;4.3;5210;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0800'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
22;ChIJ49xztIAL_UYRhqH2PRMJqjc;Bohaterów Monte Cassino 36/2, 81-759 Sopot, Poland;+48 512 824 500;;4.5;151;;True;True;[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1400'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
23;ChIJsc4Fu2Wn_UYR3TgoG1K1Da0;Świętojańska 23/4, 81-372 Gdynia, Poland;+48 58 742 30 50;2;4.7;536;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
24;ChIJ51JwIoF1_UYRWGO9QVnTFrQ;aleja Jana Pawła II 16, 80-462 Gdańsk, Poland;;;4.1;700;;False;False;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
25;ChIJSUH9wpWg_UYRaFSxKt3BDFE;Folwarczna 2, 81-547 Gdynia, Poland;+48 58 351 03 30;3;4.6;457;;True;True;[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1600'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
26;ChIJacEg4I0K_UYRsiFqEaoSiI0;Plac Zdrojowy 2, 81-720 Sopot, Poland;+48 731 141 116;2;4.7;6502;True;True;True;[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
27;ChIJG-V7VSSn_UYRU9lNRyeMaKs;Mściwoja 9, 81-361 Gdynia, Poland;+48 600 488 761;2;4.6;1975;True;True;True;[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
28;ChIJu6picjmn_UYR413GLvRgtes;al. Jana Pawła II 9/11, 81-370 Gdynia, Poland;+48 58 380 38 39;2;4.1;2552;True;True;True;[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0400'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0400'}, 'open': {'day': 6, 'time': '1200'}}];['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
29;ChIJ90grTyOn_UYRYV0USPJmPq4;plac Kaszubski 11, 81-350 Gdynia, Poland;+48 58 718 08 08;2;4.6;2498;True;True;True;[{'close': {'day': 0, 'time': '2330'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2330'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2330'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2330'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2330'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1200'}}];['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
30;ChIJiz-Xp59z_UYRaY09KwqtzMs;Długa 18/21, 80-827 Gdańsk, Poland;+48 58 322 00 44;2;4.1;1160;True;True;True;[{'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1900'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1900'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1900'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '1900'}}];['bar', 'point_of_interest', 'establishment']
31;ChIJ4adcXmyn_UYRF8HwVIPrnHE;Abrahama 41, 81-366 Gdynia, Poland;+48 453 403 133;;4.7;225;;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
32;ChIJi3xO5pEK_UYRi7WRTEcz268;Bohaterów Monte Cassino 44, 81-759 Sopot, Poland;+48 535 639 636;2;4.4;4811;;True;True;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 6, 'time': '0300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']
33;ChIJe60-YKgL_UYR0ex0DT-yueU;Jana Jerzego Haffnera 59, 81-715 Sopot, Poland;+48 58 550 98 13;;4.9;66;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']
34;ChIJvW-Ek8B1_UYR6pN6y7EJQ4M;Stanisława Lema 2/7, 80-126 Gdańsk, Poland;+48 572 546 635;;4.7;338;;True;;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
