;City;Place_ID;Place_Name;Cuisine;Address;Phone Number;Price level;Avg rating;Amount of ratings;Vegetarian;Beer;Wine;Opening Hours;tags
10;Gdańsk;ChIJV_e3zJ9z_UYRpYzNYZjZjFU;Alanya Kebap;['turkish'];Kołodziejska 2, 80-836 Gdańsk, Poland;+48 607 292 905;1.0;3.9;3803;False;True;False;[{'close': {'day': 1, 'time': '0130'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0500'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0500'}, 'open': {'day': 6, 'time': '1000'}}];['meal_delivery', 'night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']
11;Gdańsk;ChIJl4jAawB1_UYRQV2kunhGEZs;Ami Niami;['japanese', 'sushi'];Heleny Marusarzówny 2/7, 80-288 Gdańsk, Poland;+48 572 563 679;2.0;4.9;112;False;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
12;Sopot;ChIJk5aFr5UK_UYRgzWXf2Xn1tw;Amici;['italian'];Króla Jana Kazimierza 2, 81-743 Sopot, Poland;+48 571 294 124;2.0;4.5;2053;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
13;Gdynia;ChIJbVK7kiSn_UYRIv2xNPTcNO8;Andiamo a Roma Gdynia;['italian', 'pizza'];Starowiejska 15, 81-356 Gdynia, Poland;+48 666 586 445;2.0;4.7;456;True;False;False;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0900'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
14;Gdańsk;ChIJCbpmK1V1_UYReOcvIWIzvSU;Antakya Lounge Bar & Food;['turkish'];aleja Grunwaldzka 76/78, 80-244 Gdańsk, Poland;+48 780 717 480;2.0;4.7;319;True;True;True;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1300'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1300'}}];['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
15;Gdańsk;ChIJSa3R0_1z_UYR226xgjKdlU0;Antakya Shisha Lounge Bar;['turkish'];Targ Rybny 10A/B, 80-838 Gdańsk, Poland;+48 505 544 135;2.0;4.5;1097;False;False;False;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1300'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1300'}}];['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
16;Sopot;ChIJI4fVJ9cK_UYRFFPbdBi5YMQ;Asia Hoanmy;['chinese'];Piastowska 97, 80-252 Gdańsk, Poland;+48 516 505 257;1.0;4.5;3452;True;False;False;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
17;Gdańsk;ChIJh3IqNQ91_UYRonYLCCXI_YQ;Asia Hung;['chinese'];Heleny Marusarzówny 2, 80-288 Gdańsk, Poland;;2.0;4.4;203;True;False;False;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0900'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
18;Gdańsk;ChIJ8R1cEg11_UYRDv9UPvUhLCQ;Avocado Vegan SPOT;['mexican'];Wajdeloty 25, 80-437 Gdańsk, Poland;+48 794 777 325;2.0;4.7;1459;True;False;True;[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0900'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
19;Sopot;ChIJT5I4NpMK_UYRgrylszzJjtc;Bar Bursztyn;['pizza'];Grunwaldzka 80, 81-881 Sopot, Poland;+48 58 718 74 75;1.0;4.3;5210;True;True;True;[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0800'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
20;Sopot;ChIJ49xztIAL_UYRhqH2PRMJqjc;Bene Pasta Bar;['italian', 'turkish'];Bohaterów Monte Cassino 36/2, 81-759 Sopot, Poland;+48 512 824 500;2.0;4.5;151;False;True;True;[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1400'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
21;Gdynia;ChIJsc4Fu2Wn_UYR3TgoG1K1Da0;Bergamo - kuchnia pizza prosecco;['italian'];Świętojańska 23/4, 81-372 Gdynia, Poland;+48 58 742 30 50;2.0;4.7;536;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1300'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1300'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1300'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1300'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
22;Gdańsk;ChIJ51JwIoF1_UYRWGO9QVnTFrQ;Berlin Döner Kebap;['turkish'];aleja Jana Pawła II 16, 80-462 Gdańsk, Poland;;2.0;4.1;700;False;False;False;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
23;Gdynia;ChIJSUH9wpWg_UYRaFSxKt3BDFE;Biały Królik;['french'];Folwarczna 2, 81-547 Gdynia, Poland;+48 58 351 03 30;3.0;4.6;457;False;True;True;[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1600'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
24;Sopot;ChIJacEg4I0K_UYRsiFqEaoSiI0;Billy's American Restaurant;['turkish', 'chinese'];Plac Zdrojowy 2, 81-720 Sopot, Poland;+48 731 141 116;2.0;4.7;6502;True;True;True;[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
25;Gdynia;ChIJG-V7VSSn_UYRU9lNRyeMaKs;Bistro Śródmiescie - burgers;['french'];Mściwoja 9, 81-361 Gdynia, Poland;+48 600 488 761;2.0;4.6;1975;True;True;True;[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'food', 'point_of_interest', 'establishment']
26;Gdynia;ChIJu6picjmn_UYR413GLvRgtes;Bollywood Lounge;['indian'];al. Jana Pawła II 9/11, 81-370 Gdynia, Poland;+48 58 380 38 39;2.0;4.1;2552;True;True;True;[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0400'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0400'}, 'open': {'day': 6, 'time': '1200'}}];['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
27;Gdynia;ChIJ90grTyOn_UYRYV0USPJmPq4;Brooklyn Gdynia;['pizza'];plac Kaszubski 11, 81-350 Gdynia, Poland;+48 58 718 08 08;2.0;4.6;2498;True;True;True;[{'close': {'day': 0, 'time': '2330'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '2330'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 2, 'time': '2330'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2330'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2330'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '1200'}}];['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']
28;Gdańsk;ChIJiz-Xp59z_UYRaY09KwqtzMs;Budda Bar;['indian'];Długa 18/21, 80-827 Gdańsk, Poland;+48 58 322 00 44;2.0;4.1;1160;True;True;True;[{'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1900'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1900'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1900'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '1900'}}];['bar', 'point_of_interest', 'establishment']
29;Gdynia;ChIJ4adcXmyn_UYRF8HwVIPrnHE;Butchery & Wine Gdynia;['french'];Abrahama 41, 81-366 Gdynia, Poland;+48 453 403 133;2.0;4.7;225;False;True;True;[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}];['restaurant', 'point_of_interest', 'food', 'establishment']
30;Sopot;ChIJi3xO5pEK_UYRi7WRTEcz268;Błękitny Pudel;['turkish'];Bohaterów Monte Cassino 44, 81-759 Sopot, Poland;+48 535 639 636;2.0;4.4;4811;False;True;True;[{'close': {'day': 1, 'time': '0100'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 2, 'time': '0100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 3, 'time': '0100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 4, 'time': '0100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 5, 'time': '0100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 6, 'time': '0300'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 0, 'time': '0300'}, 'open': {'day': 6, 'time': '1000'}}];['restaurant', 'bar', 'point_of_interest', 'food', 'establishment']
31;Gdynia;ChIJe60-YKgL_UYR0ex0DT-yueU;Café Xander;['turkish', 'french'];Jana Jerzego Haffnera 59, 81-715 Sopot, Poland;+48 58 550 98 13;2.0;4.9;66;True;True;True;[{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1300'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1400'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1400'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1400'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1400'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1400'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1300'}}];['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']
